sample_id,edge_ms,cloud_ms
0,43.24,330.76
1,23.87,331.19
2,26.99,320.68
3,37.36,327.57
4,32.77,324.39
5,32.64,329.17
6,36.24,324.79
7,30.38,326.2
8,45.28,323.43
9,25.02,325.35
10,41.56,317.74
11,28.79,320.77
12,33.14,325.21
13,29.44,325.79
14,27.91,322.58
15,35.2,324.08
16,33.37,325.8
17,28.06,325.44
18,31.77,322.36
19,23.26,322.77
20,33.25,320.39
21,26.18,324.55
22,39.5,315.77
23,43.24,320.07
24,29.12,322.92
25,36.39,324.16
26,30.01,318.36
27,36.29,325.59
28,36.77,329.96
29,33.89,328.44
30,44.55,328.73
31,39.79,326.7
32,44.1,321.91
33,40.62,328.88
34,29.53,313.86
35,33.83,323.47
36,26.76,321.54
37,33.98,331.47
38,39.4,323.8
39,30.4,318.43
40,27.95,317.13
41,26.42,331.52
42,36.43,323.65
43,30.16,329.53
44,41.96,314.74
45,29.87,326.17
46,35.88,319.16
47,26.36,319.95
48,31.97,320.06
49,30.82,324.3
50,31.91,324.87
51,25.57,332.89
52,34.9,311.97
53,23.6,321.24
54,32.25,327.61
55,36.06,321.93
56,30.75,326.26
57,39.1,328.4
58,34.4,330.69
59,38.94,327.07
60,45.85,329.7
61,27.41,315.95
62,36.54,326.1
63,31.47,322.02
64,41.96,331.21
65,37.76,326.12
66,36.34,326.54
67,35.62,330.85
68,35.64,324.86
69,39.93,324.05
70,25.78,328.87
71,25.04,326.54
72,32.91,324.72
73,35.16,317.59
74,32.55,316.1
75,30.42,319.85
76,35.05,322.5
77,36.43,318.23
78,31.24,322.37
79,38.28,325.84
80,33.92,321.1
81,39.73,324.59
82,35.11,320.95
83,37.89,324.04
84,43.85,325.85
85,37.31,331.88
86,36.06,322.84
87,29.29,316.2
88,30.81,322.4
89,35.66,325.64
90,40.37,333.42
91,36.02,327.42
92,34.47,322.72
93,26.82,321.01
94,34.98,316.66
95,24.76,325.64
96,32.33,327.97
97,30.74,315.78
98,41.19,330.98
99,31.06,324.41
